"kingdom.inat.ID","phylum.inat.ID","class.inat.ID","order.inat.ID","family.inat.ID","genus.inat.ID","species.inat.ID","kingdom.science","phylum.science","class.science","order.science","family.science","genus.science","species.science","kingdom.common","phylum.common","class.common","order.common","family.common","genus.common","species.common","category","original.inat.taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","speciesFixed","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Scientific.Name","Occurrence","other.rank","matched.ID"
"47126","47125","47124","47181","48932","52997","52996","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Collomia","Collomia heterophylla","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","Trumpets","Variableleaf collomia","Plant",52996,"Collomia heterophylla","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Collomia","Collomia heterophylla",3,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"Collomia heterophylla","Present","",52996
"47126","47125","47124","47181","48932","58971","58965","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon parviflorus","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","Variable linanthus","Plant",58965,"Leptosiphon parviflorus","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon parviflorus",5,5,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,"Leptosiphon parviflorus","Unconfirmed","",58965
"47126","47125","47124","47181","48932","58971","58969","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon androsaceus","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","False babystars","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leptosiphon androsaceus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leptosiphon androsaceus","Unconfirmed","",58969
"47126","47125","47124","47181","48932","58971","58972","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon acicularis","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","Bristly leptosiphon","Plant",58972,"Leptosiphon acicularis","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon acicularis",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
"47126","47125","47124","47181","48932","58971","64245","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon bicolor","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","True babystars","Plant",64245,"Leptosiphon bicolor","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon bicolor",2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA
"47126","47125","47124","47181","48932","58971","77688","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon grandiflorus","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","Large-flowered leptosiphon","Plant",77688,"Leptosiphon grandiflorus","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon grandiflorus",5,4,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,"Leptosiphon grandiflorus","Present","",77688
"47126","47125","47124","47181","48932","58971","77701","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon rosaceus","Plants","Flowering plants","Dicots","Heathers and allies","Phlox family","","Rose leptosiphon","Plant",77701,"Leptosiphon rosaceus","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Leptosiphon","Leptosiphon rosaceus",3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"Leptosiphon rosaceus","Present","",77701
"47126","47125","47124","47181","64578","48063","204175","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Myrsinaceae","Lysimachia","Lysimachia maritima","Plants","Flowering plants","Dicots","Heathers and allies","Myrsines","","Sea Milkwort","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lysimachia maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glaux maritima","Present","",204175
"47126","47125","47124","47181","64578","48063","496537","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Myrsinaceae","Lysimachia","Lysimachia latifolia","Plants","Flowering plants","Dicots","Heathers and allies","Myrsines","","Western Star Flower","Plant",496537,"Lysimachia latifolia","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia","Lysimachia latifolia",11,11,0,0,0,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,"Trientalis latifolia","Present","",496537
"47126","47125","47124","47181","64578","52832","211039","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Myrsinaceae","Anagallis","Anagallis foemina","Plants","Flowering plants","Dicots","Heathers and allies","Myrsines","","Foemina Pimpernel","Plant",211039,"Anagallis foemina","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Myrsinaceae","Anagallis","Anagallis foemina",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA
"47126","47125","47124","47181","64578","52832","52830","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Myrsinaceae","Anagallis","Anagallis arvensis","Plants","Flowering plants","Dicots","Heathers and allies","Myrsines","","Scarlet pimpernel","Plant",52830,"Anagallis arvensis","species","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Myrsinaceae","Anagallis","Anagallis arvensis",28,18,0,1,1,8,7,6,1,1,2,0,1,0,0,0,0,0,0,0,0,1,2,13,12,"Anagallis arvensis","Present","",52830
"47126","47125","47124","47181","64578","52832","58993","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Myrsinaceae","Anagallis","Anagallis minima","Plants","Flowering plants","Dicots","Heathers and allies","Myrsines","","Chaffweed","Plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anagallis minima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centunculus minimus","Present","",58993
