"Accepted Symbol","Synonym Symbol","Scientific Name","Genus","Family","Family Common Name","Order","Class","Division","Kingdom"
"HAWKS","","Hawksworthiana","Hawksworthiana","Uncertain Ascomycota Family","","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"HAZAR","","Hazardia","Hazardia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HEBE","","Hebe","Hebe","Scrophulariaceae","Figwort family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"HEBEC2","","Hebeclinium","Hebeclinium","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HEBES","","Hebestigma","Hebestigma","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"HECAS","","Hecastocleis","Hecastocleis","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HECHT","","Hechtia","Hechtia","Bromeliaceae","Bromeliad family","Bromeliales","Liliopsida","Magnoliophyta","Plantae"
"HECIS","","Hecistopteris","Hecistopteris","Vittariaceae","Shoestring Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"HEDEO","","Hedeoma","Hedeoma","Lamiaceae","Mint family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"HEDER","","Hedera","Hedera","Araliaceae","Ginseng family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"HEDOS","","Hedosyne","Hedosyne","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HEDWI","","Hedwigia","Hedwigia","Hedwigiaceae","","Leucodontales","Bryopsida","Bryophyta","Plantae"
"HEDYC","","Hedychium","Hedychium","Zingiberaceae","Ginger family","Zingiberales","Liliopsida","Magnoliophyta","Plantae"
"HEDYO","","Hedyosmum","Hedyosmum","Chloranthaceae","Chloranthus family","Piperales","Magnoliopsida","Magnoliophyta","Plantae"
"HEDYO2","","Hedyotis","Hedyotis","Rubiaceae","Madder family","Rubiales","Magnoliopsida","Magnoliophyta","Plantae"
"HEDYP","","Hedypnois","Hedypnois","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HEDYS","","Hedysarum","Hedysarum","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"HEIMI","","Heimia","Heimia","Lythraceae","Loosestrife family","Myrtales","Magnoliopsida","Magnoliophyta","Plantae"
"HEIST","","Heisteria","Heisteria","Olacaceae","Olax family","Santalales","Magnoliopsida","Magnoliophyta","Plantae"
"HELEN","","Helenium","Helenium","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIA","","Helianthella","Helianthella","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIA2","","Helianthemum","Helianthemum","Cistaceae","Rock-rose family","Violales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIA3","","Helianthus","Helianthus","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIC4","","Helichrysum","Helichrysum","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIC2","","Heliconia","Heliconia","Heliconiaceae","Heliconia family","Zingiberales","Liliopsida","Magnoliophyta","Plantae"
"HELIC3","","Helicteres","Helicteres","Sterculiaceae","Cacao family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIC","","Helictotrichon","Helictotrichon","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"HELIE","","Helietta","Helietta","Rutaceae","Rue family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIO","","Heliocarpus","Heliocarpus","Tiliaceae","Linden family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIO4","","Heliomeris","Heliomeris","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIO2","","Heliopsis","Heliopsis","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HELIO3","","Heliotropium","Heliotropium","Boraginaceae","Borage family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"HELLE","","Helleborus","Helleborus","Ranunculaceae","Buttercup family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"HELLE2","","Helleriella","Helleriella","Orchidaceae","Orchid family","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"HELMI","","Helminthocarpon","Helminthocarpon","Graphidaceae","","Graphidales","Ascomycetes","Ascomycota","Fungi"
"HELMI2","","Helminthostachys","Helminthostachys","Ophioglossaceae","Adder's-tongue family","Ophioglossales","Filicopsida","Pteridophyta","Plantae"
"HELOC2","","Helocarpon","Helocarpon","Micareaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"HELOD","","Helodium","Helodium","Helodiaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"HELON","","Helonias","Helonias","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"HEMAR","","Hemarthria","Hemarthria","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"HEMER","","Hemerocallis","Hemerocallis","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"HEMIC2","","Hemichaena","Hemichaena","Scrophulariaceae","Figwort family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"HEMID","","Hemidictyum","Hemidictyum","Dryopteridaceae","Wood Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"HEMIG","","Hemigraphis","Hemigraphis","Acanthaceae","Acanthus family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"HEMIO","","Hemionitis","Hemionitis","Pteridaceae","Maidenhair Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"HEMIT","","Hemitomes","Hemitomes","Monotropaceae","Indian Pipe family","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"HEMIZ2","","Hemizonella","Hemizonella","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HEMIZ","","Hemizonia","Hemizonia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"HENIC2","","Henicodium","Henicodium","Pterobryaceae","","Leucodontales","Bryopsida","Bryophyta","Plantae"
