"kingdom.inat.ID","phylum.inat.ID","class.inat.ID","order.inat.ID","family.inat.ID","genus.inat.ID","species.inat.ID","kingdom.science","phylum.science","class.science","order.science","family.science","genus.science","species.science","kingdom.common","phylum.common","class.common","order.common","family.common","genus.common","species.common","category","original.inat.taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","speciesFixed","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Scientific.Name","Occurrence","other.rank","matched.ID"
"1","2","26036","26172","32435","91668","32494","Animalia","Chordata","Reptilia","Squamata","Leptotyphlopidae","Rena","Rena humilis","Animals","Chordates","Reptiles","Lizards and Snakes","Thread Snakes","","Western Blind Snake","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rena humilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leptotyphlops humilis","Present","",541161
"1","2","26036","26172","33177","34434","34435","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus turcicus","Animals","Chordates","Reptiles","Lizards and Snakes","Typical Geckos","House Geckos","Mediterranean House Gecko","Herp",34435,"Hemidactylus turcicus","species","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus turcicus",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
"1","2","26036","26172","36074","36090","36094","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Uta","Uta stansburiana","Animals","Chordates","Reptiles","Lizards and Snakes","Phrynosomatid Lizards","Side-blotched lizards","Common Side-blotched Lizard","Herp",36100,"Uta stansburiana elegans","subspecies","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Uta","Uta stansburiana",235,58,3,6,28,95,33,12,18,12,5,6,15,2,0,0,0,1,2,0,3,17,29,138,45,"Uta stansburiana elegans","Present","",36100
"1","2","26036","26172","36074","36141","36204","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus","Sceloporus occidentalis","Animals","Chordates","Reptiles","Lizards and Snakes","Phrynosomatid Lizards","Spiny Lizards","Western Fence Lizard","Herp",36204,"Sceloporus occidentalis","species","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus","Sceloporus occidentalis",576,116,7,23,49,192,112,88,56,21,6,9,12,1,0,0,0,2,5,4,14,104,68,279,100,"Sceloporus occidentalis longipes","Present","",36207
"1","2","26036","26172","36074","36299","146354","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Phrynosoma","Phrynosoma blainvillii","Animals","Chordates","Reptiles","Lizards and Snakes","Phrynosomatid Lizards","Horned Lizards","Blainville's Horned Lizard","Herp",146354,"Phrynosoma blainvillii","species","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Phrynosoma","Phrynosoma blainvillii",29,17,0,1,7,8,2,2,2,3,0,2,2,0,0,1,0,0,0,0,0,2,7,10,9,NA,NA,NA,NA
"1","2","26036","26172","36074","36299","243836","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Phrynosoma","Phrynosoma coronatum","Animals","Chordates","Reptiles","Lizards and Snakes","Phrynosomatid Lizards","Horned Lizards","Coast Horned Lizard","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phrynosoma coronatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phrynosoma coronatum","Present","",243836
"1","2","26036","26172","36982","37763","37769","Animalia","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon skiltonianus","Animals","Chordates","Reptiles","Lizards and Snakes","Skinks","Toothy Skinks","Western Skink","Herp",37769,"Plestiodon skiltonianus","species","Animalia","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon skiltonianus",20,15,0,1,11,2,1,3,1,0,0,0,1,0,0,0,0,0,1,0,2,2,2,6,7,"Eumeces skiltonianus","Present","",73791
"1","2","26036","26172","36982","37763","73789","Animalia","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon gilberti","Animals","Chordates","Reptiles","Lizards and Snakes","Skinks","Toothy Skinks","Gilbert's Skink","Herp",73789,"Plestiodon gilberti","species","Animalia","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon gilberti",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA
"1","2","26036","26172","38634","67693","38671","Animalia","Chordata","Reptilia","Squamata","Teiidae","Aspidoscelis","Aspidoscelis tigris","Animals","Chordates","Reptiles","Lizards and Snakes","Whiptails and Tegus","Whiptail Lizards","Western Whiptail","Herp",38672,"Aspidoscelis tigris stejnegeri","subspecies","Animalia","Chordata","Reptilia","Squamata","Teiidae","Aspidoscelis","Aspidoscelis tigris",62,26,0,0,1,18,16,8,10,7,2,0,0,0,0,0,0,0,1,0,2,10,8,33,8,NA,NA,NA,NA
"1","2","26036","26172","38634","67693","94699","Animalia","Chordata","Reptilia","Squamata","Teiidae","Aspidoscelis","Aspidoscelis marmorata","Animals","Chordates","Reptiles","Lizards and Snakes","Whiptails and Tegus","Whiptail Lizards","Marbled Whiptail","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aspidoscelis marmorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cnemidophorus tigris","Present","",94699
